exhibit_number,id,Production date,Find spot,Materials,Technique,Inscription,Subjects,Assoc name,Culture,Section,Place,description,production_year_min,production_year_max,is_date_range,date_parse_status,find_spot_city,find_spot_country,location_parse_status
1,7621,1185-1333 (?),Found/Acquired: Seto-shi,stoneware,incised; glazed,Inscription type: owner's mark Inscription position: interior Inscription quoted: NEKKO HORA Inscription note: recutagular sticker with red frame,,,Kamakura Period,Japanese,Japan,"This fragmentary artifact is a sherd from the neck of a bottle, dating back to the Kamakura Period (1185-1333) in Japan. Fashioned from green-glazed stoneware, the piece exhibits incised detailing, a technique reflecting the sophisticated ceramic practices of its era. It carries an owner's mark inscribed on a rectangular sticker with a red frame, reading ""NEKKO HORA,"" positioned on the interior. This artifact was found in Seto-shi, a locality renowned for its historical significance in Japanese ceramic production. The sherd offers a glimpse into the artistry and material culture of the Kamakura Period, encapsulating the traditional craftsmanship of the time.",1185.0,1333.0,True,success,Seto-shi,Japan,success
2,7695,600 (ca.),Found/Acquired: Akasaka-cho (near),stoneware,ash-glazed; pierced; incised,Inscription type: inscription Inscription language: English Inscription quoted: Mino near Kiyomizu 3 ri from Akasaka,,,Late Kofun,Japanese,Japan,"This Late Kofun period pedestal long-necked jar, dating to around 600 CE, is a striking example of Japanese stoneware craftsmanship. Constructed from high-fired stoneware, it features a natural ash glaze that imparts a durable, aesthetically pleasing surface. The jar's globular body is designed with a flattened shoulder, resting on a pedestal which flares towards the foot, and it possesses a neck that also expands towards the mouth. Artistic embellishments include incised grooves that accentuate the pedestal, body, and neck, with the pedestal itself exhibiting three long vertical perforations, adding to its visual intrigue. An English inscription references ""Mino near Kiyomizu 3 ri from Akasaka."" This artifact was discovered near Akasaka-cho, situating it geographically within Japan and providing insight into the region's ceramic traditions during this era.",600.0,600.0,False,success,Akasaka-cho,Japan,success
3,7717,250-600 (?),Found/Acquired: Yamato (historic - kuni),stone,carved,,horse/ass,,Kofun Period,Japanese,Japan,"This carved stone equine figure, originating from Japan's Kofun Period, dates back to approximately 250-600 CE. The sculpture, representing a horse or ass, is intricately carved, reflecting the skill and artistry associated with this era in Japanese history. The Kofun Period is marked by its distinctive burial mounds and funerary art, of which this figure is a fine example. Discovered in the historic region of Yamato, this artifact highlights the cultural and symbolic significance of equines in Japanese society during this time, often associated with status and spiritual beliefs.",250.0,600.0,True,success,Yamato,Japan,success
4,7843,250-600,Found/Acquired: Shibayama dolmen,bronze; gold,gilded,,,,Kofun Period,Japanese,Japan,"This fragment of a harness pendant dates from the Kofun Period, specifically between 250-600 CE, and was discovered at the Shibayama dolmen in Japan. Crafted from gilt bronze, this pendant originally embodied an elegant design featuring oval and lozenge shapes, of which only a section of the oval remains today. The use of gilding indicates the luxurious craftsmanship typical of the era, reflecting the sophistication and artistry present in Japanese metalwork during this time. The pendant's origin from a dolmen—a megalithic tomb structure—suggests its role in burial practices, potentially symbolizing status or serving as a ceremonial object. This artifact offers insights into the material culture and mortuary customs of the ancient Kofun society.",250.0,600.0,True,success,Shibayama dolmen,Japan,success
5,7857,600-650,Found/Acquired: Kinshozan,stoneware,ash-glazed,Inscription type: inscription Inscription language: English Inscription quoted: near Akasaka (Mino)  Kinshozan. 3/10/86,,,Late Kofun,Japanese,Japan,"This vessel, crafted for serving rice wine, dates back to the Late Kofun period between 600-650 CE. Originating from Japan, the vessel is fashioned from high-fired stoneware, coated with a natural ash glaze that imparts a distinctive finish. Its design features a small, globular body with a round base and a pronounced shoulder, culminating in a long neck that flares into a wide mouth. Incised grooves accentuate both the neck and body, enhancing its aesthetic appeal. A small central hole adds to its unique form. An inscription in English notes ""near Akasaka (Mino) Kinshozan. 3/10/86,"" providing locational and potentially historical context. This artifact was found or acquired at Kinshozan, linking it to the rich cultural tapestry of the region.",600.0,650.0,True,success,Kinshozan,Japan,success
6,7912,650-700,Found/Acquired: Yasui rock tomb,stoneware,tataki,,,,Late Kofun,Japanese,Japan,"This exquisite jar from the Late Kofun period, crafted between 650-700 CE, epitomizes the high-fired stoneware artistry of ancient Japan. Featuring a globular body with a rounded base and a short neck that elegantly flares towards the mouth, the jar is accented by circular handles affixed to each shoulder. The exterior showcases distinctive tataki matted paddle marks, a testament to the period's ceramic techniques, while the interior bears the hallmark round anvil marks. Shellfish fragments adhere to its surface, hinting at its historical and geographical journey. This artifact was discovered in the Yasui rock tomb in Japan, providing valuable insight into the burial practices and material culture of the era.",650.0,700.0,True,success,Yasui rock tomb,Japan,success
7,7946,500 (circa),Found/Acquired: Shibayama dolmen,copper; silver,silvered; incised,,,,Late Kofun,Japanese,Japan,"This Late Kofun period kodogu, dating approximately to the year 500 CE, is a meticulously crafted sword fitting notable for its use of silvered and incised copper. This artifact, representative of Japanese material culture, exemplifies the technical sophistication of the era with its intricate silvering and engraving techniques. Discovered at the Shibayama dolmen, it is a testament to the ceremonial and practical applications of sword fittings in the Kofun period, reflecting the culture’s emphasis on craftsmanship in its weaponry and associated paraphernalia.",500.0,500.0,False,success,Shibayama dolmen,Japan,success
8,7958,650-700,Found/Acquired: Akasaka-cho (near),stoneware,ash-glazed,"Inscription type: inscription Inscription language: English Inscription quoted: Akasaka, Mino dolmens on hills behind town",,,Late Kofun,Japanese,Japan,"This Late Kofun period tsubofuta, crafted between 650-700 CE, serves as the lid of a jar and exemplifies the refined ceramics of ancient Japan. Made from high-fired stoneware, it features a coiled knob placed centrally and is adorned with a natural ash glaze, a technique indicative of the time that enhances its aesthetic and functional qualities. The lid bears an English inscription referencing ""Akasaka, Mino dolmens on hills behind town,"" suggesting a cultural or geographical connection possibly related to its findspot. Discovered near Akasaka-cho, this piece reflects the enduring legacy of the Late Kofun culture in Japan, particularly in ceramic traditions.",650.0,700.0,True,success,Akasaka-cho,Japan,success
9,8058,650-700,Found/Acquired: Misaoyama Dolmen,stoneware,ash-glazed; pierced,"Inscription type: inscription Inscription position: label on foot Inscription language: English Inscription quoted: Misaoyama, Bizen from dolmens. From CSuicho. Inscription note: Handwritten.",,,Late Kofun,Japanese,Japan,"This Late Kofun pedestal vessel, dating from 650-700 CE, serves as a remarkable example of Japanese stoneware used for serving rice wine, known as daitsuki hasou. Crafted from high-fired stoneware, it features a natural ash glaze that highlights its aesthetic appeal. The vessel boasts a globular body, with a round perforation on one side designed for a bamboo spout, and has a distinctive long neck that broadens into a wide mouth accented by a ridge below the rim. It is supported by a short pedestal that expands towards the foot. A handwritten English inscription is found on a label on the foot, which reads ""Misaoyama, Bizen from dolmens. From CSuicho,"" indicating its provenance. This artifact was found at the Misaoyama Dolmen in Japan, offering insights into the funerary practices and material culture of the Late Kofun period.",650.0,700.0,True,success,Misaoyama Dolmen,Japan,success
10,8062,550-600,Found/Acquired: Hattorigawa,stoneware,ash-glazed; tataki,"Inscription type: inscription Inscription language: English Inscription quoted: 1886/2/13 Hattorigawa (Kawachi), Febr. 13/86",,,Late Kofun,Japanese,Japan,"This Late Kofun period pedestal jar, known as a daitsuki yuugai tsubo, was crafted between 550-600 CE in Japan. Made of high-fired stoneware, this jar exhibits a natural ash glaze, giving it a distinctive finish. Its globular body features a neck that widens towards the mouth with an inclined rim designed to secure a lid, while the pedestal base expands towards a fragmented foot. The exterior displays tataki matted paddle marks, with corresponding anvil marks visible on the inside. An English inscription notes ""1886/2/13 Hattorigawa (Kawachi), Febr. 13/86,"" marking its findspot at Hattorigawa. This piece exemplifies the utilitarian and artistic craftsmanship characteristic of the Late Kofun period.",550.0,600.0,True,success,Hattorigawa,Japan,success
