exhibit_number,id,Production date,Find spot,Materials,Technique,Inscription,Subjects,Assoc name,Culture,Section,Place,description,production_year_min,production_year_max,is_date_range,date_parse_status,find_spot_city,find_spot_country,location_parse_status
1,6036,6000BC-5000BC,Excavated/Findspot: Arpachiyah,steatite,pierced,,cross,,Halaf,Mesopotamian,iraq,"This Halaf cultural artifact, dating from 6000 to 5000 BC, is a black steatite amulet intricately shaped like a Maltese cross. Designed for suspension, it features a pierced section likely intended for stringing or attachment, reflecting the utilitarian and symbolic functions of such objects in ancient Mesopotamian societies. The artifact's cross shape could suggest spiritual or protective significance within the Halaf culture. Discovered during excavations at Arpachiyah in present-day Iraq, this amulet offers a glimpse into the artistry and beliefs of early Neolithic communities in the region.",-6000.0,-5000.0,True,success,Arpachiyah,Iraq,success
2,8458,480BC-460BC,Excavated/Findspot: Vulci,pottery,painted,,classical deity; classical mythology; mythical figure/creature,Representation of: Theseus;  Representation of: Aithra;  Representation of: Pittheus;  Representation of: Nike/Victoria/Victory;  Representation of: Aegeus,Attic,Greek,Greece,"This Attic red-figured amphora, dating from 480-460 BC, vividly depicts scenes from classical mythology, crafted with fine technique and traces of archaism. The obverse side illustrates ""The Recognition of Theseus,"" where the youthful hero, presented beardless and adorned with a short undertied chiton, is grasped by Aegeus, an elderly man with white hair and a beard, who extends a rolled band. Aithra stands between them, elegantly dressed and touching Theseus' chin, while behind him is Pittheus, holding a trident, his figure expertly rendered but partially obscured by the design's border. The reverse side showcases a face-off between a similarly attired youth and Nike, who offers a phiale with grace and precision. The amphora exhibits refined details such as purple fillets and brown hair delineations, with the design encased within panels featuring key, lotus, and net patterns, enriched by a band of black rays around its body. Discovered in Vulci, this pottery piece not only embodies the rich artistic traditions of ancient Greece but also resonates with the enduring narratives of figures like Theseus, Aithra, Pittheus, Nike, and Aegeus.",-480.0,-460.0,True,success,Vulci,Italy,success
3,8462,510BC-500BC (circa),Excavated/Findspot: Vulci (said to be from),pottery,painted; incised,"Inscription type: merchant's mark Inscription position: under foot Inscription script: Greek Inscription note: lambda-eta ligature, twice, deltoid mark and 'tick'",classical deity; classical mythology,Representation of: Herakles/Hercules;  Representation of: Antaios;  Representation of: Athena/Minerva;  Representation of: Hermes/Mercury,Attic; Archaic Greek,Greek,Greece,"This Attic black-figured amphora, dating from circa 510-500 BCE, exemplifies the artistry of Archaic Greek pottery. The amphora, crafted from pottery and skillfully painted and incised, vividly portrays a mythological narrative. Side (a) depicts Heracles wrestling Antaios, a dynamic scene where Heracles, nude and bearded, grapples with Antaios, who is also nude and bearded, his hand touching the earth. Above Heracles, a lion's skin, bow, quiver, and sword are suspended, signifying his legendary strength. Athena, adorned in a long embroidered chiton and aegis, stands to the left holding a spear and helmet, symbolizing divine intervention. Hermes appears on the right, bearded and dressed in a chiton and chlamys, pointing with his caduceus. An imitation inscription is inscribed above this scene. Side (b) illustrates the departure of a warrior in a quadriga, front-facing with a charioteer, a warrior, and accompanying animal motifs—a dog leaping and a bird descending. A merchant's mark under the foot features a lambda-eta ligature and deltoid mark, indicating its commercial use. Excavated from Vulci, this artifact encapsulates the intersection of myth and daily life in Greek culture, depicting figures such as Heracles, Antaios, Athena, and Hermes in classical mythology.",-510.0,-500.0,True,success,Vulci,Italy,success
4,8491,470BC-400BC,Excavated/Findspot: Marion-Arsinoe (historic),pottery,painted; wheel-made; incised,,satyr; mammal,,Attic,Greek,Greece,"This Attic red-figure askos, dating from 470-400 BCE, exemplifies the intricate pottery techniques of ancient Greece. Wheel-made from fine buff clay, the askos features a flat body with splaying sides and a convex top, a prominent spout with an everted rim, and a basket handle. The surface, adorned in the red-figure technique on the shoulder, bears a patina of historical wear with certain portions of the black gloss now worn. On one side, a charming depiction of a beardless satyr on all fours with a bald crown is crafted facing the spout, while the opposite side showcases a bull with schematic detail and pronounced hooves, both figures directed toward the spout. Notably, the underside is marked with a single incised Cypriot syllabic character, offering a glimpse into cross-cultural influences. The artifact was unearthed at Marion-Arsinoe, underscoring its historical provenance within the realm of Greek antiquity.",-470.0,-400.0,True,success,Marion-Arsinoe,Cyprus,success
5,8507,550BC-525BC (circa),Excavated/Findspot: Sanctuary of Apollo (Naukratis),pottery,painted; incised,,mammal; siren,,Attic; Archaic Greek,Greek,Greece,"This artifact is a body sherd from an Attic black-figured pottery band-cup, dating approximately to 550-525 BCE, during the Archaic period of Greek history. Expertly crafted through painting and incision techniques, the sherd is composed of pottery material. The interior is glazed black, while the exterior showcases a striking black-figure decorative frieze. The imagery features a siren with outspread wings in a rightward stance, confronting a deer. Notably, one wing and the lower body of the siren are missing, but traces of added red remain on the wing and body. The deer’s representation is preserved with its head, neck highlighted with red, and one foreleg still visible. This piece was excavated from the Sanctuary of Apollo at Naukratis, a site of significant religious and cultural activity in ancient Greece, offering a glimpse into the artistic and symbolic motifs of the Attic civilization.",-550.0,-525.0,True,success,Sanctuary of Apollo,Greece,success
6,8662,570BC-560BC (circa),Excavated/Findspot: Sanctuary of Aphrodite (Naukratis) (according to Ashmolean Museum register),pottery,slipped; painted,,sphinx,,East Greek; Archaic Greek,Greek,Greece,"This East Greek, Archaic Greek chalice fragment, dating approximately from 570-560 BCE, showcases the Chian Simple Animal Style, indicative of the period's artistic conventions. Composed of pottery with a cream slip, the rim and body sherds have been mended from two distinct fragments. The interior of the chalice features a reserved band at the rim with a glazed streaky black area below, adorned with a lotus flower outlined in added white and a red center, complemented by two white bands. The exterior displays a narrow black band atop the rim, a decorative pattern of short diagonal strokes between pairs of dilute bands, and a painted sphinx, with remnants of a red-haired head and curlicue directed to the left. This artifact was excavated at the Sanctuary of Aphrodite in Naukratis, a site recorded by the Ashmolean Museum register, offering invaluable insights into the cultural and religious contexts of Archaic Greece.",-570.0,-560.0,True,success,Sanctuary of Aphrodite,Cyprus,success
7,8771,570BC-560BC (circa),Excavated/Findspot: Naukratis,pottery,slipped; painted,,sphinx (possibly),,East Greek; Archaic Greek,Greek,Greece,"This rim sherd is a fragment of a Chian Simple Animal Style pottery chalice, originating from the East Greek, Archaic Greek culture, and is dated circa 570-560 BCE. Crafted from pottery, the sherd features a white slip with intricate decorations on both its interior and exterior. The interior is adorned with a reserved band at the rim and a glazed section below, fired to a red hue. The exterior is marked by a band of dots between dilute lines at the rim, with a painted decoration beneath, potentially depicting a sphinx, as suggested by the remaining strands of hair to the left. Slipped and painted techniques were employed in its creation, showcasing the artistic motifs prevalent during the period. This artifact was unearthed at Naukratis, contributing valuable knowledge to the understanding of cross-cultural interactions in ancient Greece.",-570.0,-560.0,True,success,Naukratis,Egypt,success
8,8809,420BC (circa),Excavated/Findspot: Fikellura grave 179,pottery,painted,,satyr,,Attic,Greek,Greece,"This Attic red-figured chous, dating to approximately 420 BCE, is a masterful representation of Greek pottery, crafted from painted ceramic. The scene depicts two youthful but bearded satyrs engaging in playful antics. Central to the imagery are two jugs on the ground; a bearded satyr on the right holds a purple wreath aloft, while another approaches from the left, crouched with one hand resting on his knee and the other outreaching towards the jugs. The satyrs, bald on the crown and adorned with white ivy wreaths, are depicted with beardless yet youthful visages. This piece exemplifies a graceful miniature style, with eyes rendered in profile and the panel encapsulated by egg moulding above and below, and bordered on each side by herringbone patterns. This exquisite artifact was uncovered at Fikellura grave 179, offering valuable insights into the artistic and cultural conventions of ancient Greece.",-420.0,-420.0,False,success,Fikellura grave 179,Greece,success
9,8833,575BC-550BC (circa),Excavated/Findspot: Naukratis,pottery,painted; incised,,siren (possibly); bird (possibly),,Attic; Archaic Greek,Greek,Greece,"This artifact is a handle plate from an Attic black-figured pottery column-krater, dating circa 575-550 BC, representative of the Archaic Greek period. The plate, made from pottery, exhibits a glazed streaky black underside and features a stepped zigzag pattern along its outer edges. The top of the handle plate showcases a black-figure decoration depicting a bird or possibly a siren facing left, though the head is missing, adorned with added red detailing on the chest, wing, and tail. The application of painting and incision techniques reflects the distinctive artistic practices of the time. This piece was excavated in Naukratis, an important cultural and trading center of ancient Greece, offering insights into the interplay of Greek art and commerce.",-575.0,-550.0,True,success,Naukratis,Egypt,success
10,8907,525BC-475BC,Excavated/Findspot: Naukratis,pottery,painted,"Inscription type: inscription Inscription position: lip Inscription language: Greek Inscription quoted: ]ος:[ Inscription note: Post-firing graffito. Punctuation not fully preserved, presumably three-dot.",classical deity,Named in inscription: Apollo (?),Attic; Archaic Greek,Greek,Greece,"This artifact is a concave lip and wall sherd from an Attic black-glazed pottery cup, classified as type C, dating from 525-475 BC, during the Archaic Greek period. The piece features a sharply offset lip both internally and externally, which is thickened at the rim and entirely covered in a glossy black glaze. An inscription, rendered in Greek as a post-firing graffito, is located on the lip, although it is partially preserved and believed to contain a three-dot punctuation. The inscription tentatively names the classical deity Apollo, suggesting the vessel's potential religious or cultural significance. This pottery fragment was excavated at Naukratis, providing valuable insight into the exchange and influence of Greek culture across regions.",-525.0,-475.0,True,success,Naukratis,Egypt,success
11,8931,550BC-530BC (circa),Excavated/Findspot: Naukratis (possibly),pottery,painted; incised,,bird (possibly); siren (possibly),,Attic; Archaic Greek,Greek,Greece,"This tondo and stem sherd originates from an Attic black-figured pottery vessel, likely a type A cup, crafted during the Archaic Greek period circa 550-530 BCE. The interior decoration features a black-figure depiction of a bird or siren facing right, with distinct characteristics such as the body, outspread wings, one leg, and added red on the wing bands. A series of faded white dots adorns the underbelly, suggesting intricate detailing. The vessel's exterior displays a red fillet joining the bowl and stem, while the stem itself is glazed both inside and out. The underside is reserved with a red band at the top of the stem, accentuating its form. Composed of pottery and showcasing the painted and incised technique characteristic of the Attic style, this fragment offers insight into the artistic traditions of the time. It was possibly excavated at the ancient site of Naukratis, underlining its historical significance within Greek material culture.",-550.0,-530.0,True,success,Naukratis,Egypt,success
12,8938,525BC-500BC (circa),Excavated/Findspot: Naukratis,pottery,painted; incised,,classical deity,,Attic; Archaic Greek,Greek,Greece,"This rim sherd of an Attic black-figured Type A cup, dating from around 525-500 BC, exemplifies the sophisticated artistry of Archaic Greek pottery. Crafted from pottery and employing both painted and incised techniques, this artifact features a striking black-figure exterior decoration, with a double ivy leaf frieze above a depiction of Dionysos, the classical deity. The rim's interior displays a reserved band, with the glaze fired to a reddish hue below. The representation of Dionysos shows his upper body cloaked, holding a horn, and likely extending a vine tendril. The field is further adorned with vine motifs, emphasizing the god's association with wine and revelry. This piece was excavated in Naukratis, a significant Greek trading post in Egypt, highlighting the cultural exchange between Greece and Egypt during this period.",-525.0,-500.0,True,success,Naukratis,Egypt,success
