exhibit_number,id,Production date,Find spot,Materials,Technique,Inscription,Subjects,Assoc name,Culture,Section,Place,description,production_year_min,production_year_max,is_date_range,date_parse_status,find_spot_city,find_spot_country,location_parse_status
1,8458,480BC-460BC,Excavated/Findspot: Vulci,pottery,painted,,classical deity; classical mythology; mythical figure/creature,Representation of: Theseus;  Representation of: Aithra;  Representation of: Pittheus;  Representation of: Nike/Victoria/Victory;  Representation of: Aegeus,Attic,Greek,Greece,"This Attic red-figured amphora, dating from 480-460 BC, vividly depicts scenes from classical mythology, crafted with fine technique and traces of archaism. The obverse side illustrates ""The Recognition of Theseus,"" where the youthful hero, presented beardless and adorned with a short undertied chiton, is grasped by Aegeus, an elderly man with white hair and a beard, who extends a rolled band. Aithra stands between them, elegantly dressed and touching Theseus' chin, while behind him is Pittheus, holding a trident, his figure expertly rendered but partially obscured by the design's border. The reverse side showcases a face-off between a similarly attired youth and Nike, who offers a phiale with grace and precision. The amphora exhibits refined details such as purple fillets and brown hair delineations, with the design encased within panels featuring key, lotus, and net patterns, enriched by a band of black rays around its body. Discovered in Vulci, this pottery piece not only embodies the rich artistic traditions of ancient Greece but also resonates with the enduring narratives of figures like Theseus, Aithra, Pittheus, Nike, and Aegeus.",-480.0,-460.0,True,success,Vulci,Italy,success
2,8462,510BC-500BC (circa),Excavated/Findspot: Vulci (said to be from),pottery,painted; incised,"Inscription type: merchant's mark Inscription position: under foot Inscription script: Greek Inscription note: lambda-eta ligature, twice, deltoid mark and 'tick'",classical deity; classical mythology,Representation of: Herakles/Hercules;  Representation of: Antaios;  Representation of: Athena/Minerva;  Representation of: Hermes/Mercury,Attic; Archaic Greek,Greek,Greece,"This Attic black-figured amphora, dating from circa 510-500 BCE, exemplifies the artistry of Archaic Greek pottery. The amphora, crafted from pottery and skillfully painted and incised, vividly portrays a mythological narrative. Side (a) depicts Heracles wrestling Antaios, a dynamic scene where Heracles, nude and bearded, grapples with Antaios, who is also nude and bearded, his hand touching the earth. Above Heracles, a lion's skin, bow, quiver, and sword are suspended, signifying his legendary strength. Athena, adorned in a long embroidered chiton and aegis, stands to the left holding a spear and helmet, symbolizing divine intervention. Hermes appears on the right, bearded and dressed in a chiton and chlamys, pointing with his caduceus. An imitation inscription is inscribed above this scene. Side (b) illustrates the departure of a warrior in a quadriga, front-facing with a charioteer, a warrior, and accompanying animal motifs—a dog leaping and a bird descending. A merchant's mark under the foot features a lambda-eta ligature and deltoid mark, indicating its commercial use. Excavated from Vulci, this artifact encapsulates the intersection of myth and daily life in Greek culture, depicting figures such as Heracles, Antaios, Athena, and Hermes in classical mythology.",-510.0,-500.0,True,success,Vulci,Italy,success
3,8491,470BC-400BC,Excavated/Findspot: Marion-Arsinoe (historic),pottery,painted; wheel-made; incised,,satyr; mammal,,Attic,Greek,Greece,"This Attic red-figure askos, dating from 470-400 BCE, exemplifies the intricate pottery techniques of ancient Greece. Wheel-made from fine buff clay, the askos features a flat body with splaying sides and a convex top, a prominent spout with an everted rim, and a basket handle. The surface, adorned in the red-figure technique on the shoulder, bears a patina of historical wear with certain portions of the black gloss now worn. On one side, a charming depiction of a beardless satyr on all fours with a bald crown is crafted facing the spout, while the opposite side showcases a bull with schematic detail and pronounced hooves, both figures directed toward the spout. Notably, the underside is marked with a single incised Cypriot syllabic character, offering a glimpse into cross-cultural influences. The artifact was unearthed at Marion-Arsinoe, underscoring its historical provenance within the realm of Greek antiquity.",-470.0,-400.0,True,success,Marion-Arsinoe,Cyprus,success
4,8507,550BC-525BC (circa),Excavated/Findspot: Sanctuary of Apollo (Naukratis),pottery,painted; incised,,mammal; siren,,Attic; Archaic Greek,Greek,Greece,"This artifact is a body sherd from an Attic black-figured pottery band-cup, dating approximately to 550-525 BCE, during the Archaic period of Greek history. Expertly crafted through painting and incision techniques, the sherd is composed of pottery material. The interior is glazed black, while the exterior showcases a striking black-figure decorative frieze. The imagery features a siren with outspread wings in a rightward stance, confronting a deer. Notably, one wing and the lower body of the siren are missing, but traces of added red remain on the wing and body. The deer’s representation is preserved with its head, neck highlighted with red, and one foreleg still visible. This piece was excavated from the Sanctuary of Apollo at Naukratis, a site of significant religious and cultural activity in ancient Greece, offering a glimpse into the artistic and symbolic motifs of the Attic civilization.",-550.0,-525.0,True,success,Sanctuary of Apollo,Greece,success
5,8662,570BC-560BC (circa),Excavated/Findspot: Sanctuary of Aphrodite (Naukratis) (according to Ashmolean Museum register),pottery,slipped; painted,,sphinx,,East Greek; Archaic Greek,Greek,Greece,"This East Greek, Archaic Greek chalice fragment, dating approximately from 570-560 BCE, showcases the Chian Simple Animal Style, indicative of the period's artistic conventions. Composed of pottery with a cream slip, the rim and body sherds have been mended from two distinct fragments. The interior of the chalice features a reserved band at the rim with a glazed streaky black area below, adorned with a lotus flower outlined in added white and a red center, complemented by two white bands. The exterior displays a narrow black band atop the rim, a decorative pattern of short diagonal strokes between pairs of dilute bands, and a painted sphinx, with remnants of a red-haired head and curlicue directed to the left. This artifact was excavated at the Sanctuary of Aphrodite in Naukratis, a site recorded by the Ashmolean Museum register, offering invaluable insights into the cultural and religious contexts of Archaic Greece.",-570.0,-560.0,True,success,Sanctuary of Aphrodite,Cyprus,success
6,8771,570BC-560BC (circa),Excavated/Findspot: Naukratis,pottery,slipped; painted,,sphinx (possibly),,East Greek; Archaic Greek,Greek,Greece,"This rim sherd is a fragment of a Chian Simple Animal Style pottery chalice, originating from the East Greek, Archaic Greek culture, and is dated circa 570-560 BCE. Crafted from pottery, the sherd features a white slip with intricate decorations on both its interior and exterior. The interior is adorned with a reserved band at the rim and a glazed section below, fired to a red hue. The exterior is marked by a band of dots between dilute lines at the rim, with a painted decoration beneath, potentially depicting a sphinx, as suggested by the remaining strands of hair to the left. Slipped and painted techniques were employed in its creation, showcasing the artistic motifs prevalent during the period. This artifact was unearthed at Naukratis, contributing valuable knowledge to the understanding of cross-cultural interactions in ancient Greece.",-570.0,-560.0,True,success,Naukratis,Egypt,success
7,8809,420BC (circa),Excavated/Findspot: Fikellura grave 179,pottery,painted,,satyr,,Attic,Greek,Greece,"This Attic red-figured chous, dating to approximately 420 BCE, is a masterful representation of Greek pottery, crafted from painted ceramic. The scene depicts two youthful but bearded satyrs engaging in playful antics. Central to the imagery are two jugs on the ground; a bearded satyr on the right holds a purple wreath aloft, while another approaches from the left, crouched with one hand resting on his knee and the other outreaching towards the jugs. The satyrs, bald on the crown and adorned with white ivy wreaths, are depicted with beardless yet youthful visages. This piece exemplifies a graceful miniature style, with eyes rendered in profile and the panel encapsulated by egg moulding above and below, and bordered on each side by herringbone patterns. This exquisite artifact was uncovered at Fikellura grave 179, offering valuable insights into the artistic and cultural conventions of ancient Greece.",-420.0,-420.0,False,success,Fikellura grave 179,Greece,success
8,7621,1185-1333 (?),Found/Acquired: Seto-shi,stoneware,incised; glazed,Inscription type: owner's mark Inscription position: interior Inscription quoted: NEKKO HORA Inscription note: recutagular sticker with red frame,,,Kamakura Period,Japanese,Japan,"This fragmentary artifact is a sherd from the neck of a bottle, dating back to the Kamakura Period (1185-1333) in Japan. Fashioned from green-glazed stoneware, the piece exhibits incised detailing, a technique reflecting the sophisticated ceramic practices of its era. It carries an owner's mark inscribed on a rectangular sticker with a red frame, reading ""NEKKO HORA,"" positioned on the interior. This artifact was found in Seto-shi, a locality renowned for its historical significance in Japanese ceramic production. The sherd offers a glimpse into the artistry and material culture of the Kamakura Period, encapsulating the traditional craftsmanship of the time.",1185.0,1333.0,True,success,Seto-shi,Japan,success
9,7695,600 (ca.),Found/Acquired: Akasaka-cho (near),stoneware,ash-glazed; pierced; incised,Inscription type: inscription Inscription language: English Inscription quoted: Mino near Kiyomizu 3 ri from Akasaka,,,Late Kofun,Japanese,Japan,"This Late Kofun period pedestal long-necked jar, dating to around 600 CE, is a striking example of Japanese stoneware craftsmanship. Constructed from high-fired stoneware, it features a natural ash glaze that imparts a durable, aesthetically pleasing surface. The jar's globular body is designed with a flattened shoulder, resting on a pedestal which flares towards the foot, and it possesses a neck that also expands towards the mouth. Artistic embellishments include incised grooves that accentuate the pedestal, body, and neck, with the pedestal itself exhibiting three long vertical perforations, adding to its visual intrigue. An English inscription references ""Mino near Kiyomizu 3 ri from Akasaka."" This artifact was discovered near Akasaka-cho, situating it geographically within Japan and providing insight into the region's ceramic traditions during this era.",600.0,600.0,False,success,Akasaka-cho,Japan,success
10,7717,250-600 (?),Found/Acquired: Yamato (historic - kuni),stone,carved,,horse/ass,,Kofun Period,Japanese,Japan,"This carved stone equine figure, originating from Japan's Kofun Period, dates back to approximately 250-600 CE. The sculpture, representing a horse or ass, is intricately carved, reflecting the skill and artistry associated with this era in Japanese history. The Kofun Period is marked by its distinctive burial mounds and funerary art, of which this figure is a fine example. Discovered in the historic region of Yamato, this artifact highlights the cultural and symbolic significance of equines in Japanese society during this time, often associated with status and spiritual beliefs.",250.0,600.0,True,success,Yamato,Japan,success
