exhibit_number,id,Production date,Find spot,Materials,Technique,Inscription,Subjects,Assoc name,Culture,Section,Place,description,production_year_min,production_year_max,is_date_range,date_parse_status,find_spot_city,find_spot_country,location_parse_status
1,3137,1476BC-1457BC (circa),Found/Acquired: Egypt,glazed composition; gold,glazed; pierced; incised,"Inscription type: inscription Inscription position: bezel Inscription script: hieroglyphic Inscription translation: Titles/epithets include :The Good Goddess Maatkare, may she live. Inscription note: Incised prenomen.",,Named in inscription: Hatshepsut,18th Dynasty,Ancient Egyptian,Egypt,"This exquisite Ancient Egyptian artifact from the 18th Dynasty, dating circa 1476-1457 BC, is a gold finger-ring featuring a turquoise-green glazed composition scarab as its bezel. The scarab is intricately detailed on its back and is set in a gold mount, inscribed with the prenomen or throne name of the renowned Queen Hatshepsut, flanked by hieroglyphs that translate to ""The Good Goddess Maatkare, may she live."" The ring's construction boasts a hollow gold foil shank, cleverly folded around a wire, with an additional wire threaded through the scarab's piercing to enable its swiveling function. The skillfully applied techniques include glazing, piercing, and incising, reflecting the craftsmanship of the era. This artifact, discovered in Egypt, offers a glimpse into the opulent and symbolically rich adornments of Egyptian royalty.",-1476.0,-1457.0,True,success,Egypt,Egypt,success
2,3166,1390BC-1352BC (circa),Found/Acquired: Egypt,glazed composition,glazed; painted,Inscription type: inscription Inscription script: hieroglyphic Inscription translation: Titles/epithets include : Good God Inscription note: Painted.,,Named in inscription: Amenhotep III,18th Dynasty,Ancient Egyptian,Egypt,"This elliptical name-bead from the 18th Dynasty, dated circa 1390-1352 BC, exemplifies the intricate artistry of Ancient Egyptian craftsmanship. Created from a bichrome glazed composition, it features a striking white on blue finish. The bead is designed with a double piercing and a cord channel on the back, allowing it to be worn as an adornment. The front of the bead is adorned with a painted cartouche that holds the prenomen of Pharaoh Amenhotep III, accompanied by the epithet ""Good God,"" rendered in hieroglyphic script. This inscription emphasizes the divine and regal nature of the pharaoh's persona during his reign. The bead was found in Egypt, serving as a testament to the enduring legacy of Amenhotep III within Egyptian history and art.",-1390.0,-1352.0,True,success,Egypt,Egypt,success
3,3170,650BC (after),Found/Acquired: Egypt,glazed composition,glazed; incised,Inscription type: inscription Inscription position: bead face Inscription script: hieroglyphic Inscription translation: Psamtek (Psammetichus),,Named in inscription: Psamtek,26th Dynasty,Ancient Egyptian,Egypt,"This necklace from ancient Egypt, dating to the period after 650 BCE during the 26th Dynasty, is a remarkable artifact consisting of numerous green-blue glazed composition rectangular beads or plaques. Each bead is intricately incised with hieroglyphs naming Psamtek, known as Psammetichus, and features two longitudinal perforations for stringing. The glazing and incised techniques used highlight the sophisticated craftsmanship of the era. The necklace, associated with Psamtek—a prominent figure of the 26th Dynasty—illuminates the cultural and artistic practices of ancient Egypt. Discovered in Egypt, this piece serves as a testament to the region's rich history and the enduring legacy of its pharaonic rulers.",-650.0,-650.0,False,success,Egypt,Egypt,success
4,3171,664 BC-402 BC (probably 6th century BC),Excavated/Findspot: Naukratis,glazed composition,mould-made; incised,Inscription type: inscription Inscription position: Front Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: jmn-ra wp rnpt nfr [...] Inscription translation: May Amun-Ra inaugurate a perfect year [...] Inscription note: Traditional wishes found on New Year's flasks.,,Named in inscription: Amun-Ra,Late Period; 26th Dynasty,Ancient Egyptian,Egypt,"This artifact is a glazed composition New Year's flask from the Late Period, specifically the 26th Dynasty of Ancient Egypt, dating to approximately the 6th century BC. The flask, though partially preserved, displays intricate geometric designs such as tear drops and rectangles arranged in a broad collar of concentric registers on its upper body. A central vertical band features a hieroglyphic inscription, which is framed by vertical bands decorated with a scale pattern. The inscription, rendered in Egyptian hieroglyphics, translates to a traditional blessing: ""May Amun-Ra inaugurate a perfect year."" Crafted using a mould-made technique from a now glaze-lost greenish-yellow fine paste, this object reflects the cultural significance of Amun-Ra in New Year rituals. The flask was excavated at Naukratis, one of the key Greek trading hubs in Egypt, emphasizing its role in cultural exchanges of the period.",-664.0,-402.0,True,success,Naukratis,Egypt,success
5,3183,1275BC (circa),Found/Acquired: Memphis (historic - Egypt),glazed composition,glazed; inlaid; pierced,"Inscription type: inscription Inscription position: pectoral front Inscription script: hieroglyphic Inscription translation: Titles/epithets include : Lady of the West
Titles/epithets include : Mistress of the Necropolis Inscription note: Inlaid.; Inscription type: inscription Inscription position: scarab Inscription script: hieroglyphic Inscription translation: Titles/epithets include : Lady Inscription note: Painted.",ancient egyptian deity; eye of horus,Named in inscription & portrayed: Isis;  Named in inscription & portrayed: Nephthys;  Named in inscription: Ptahemheb (deceased),19th Dynasty,Ancient Egyptian,Egypt,"This exquisite 19th Dynasty Egyptian pectoral, dated circa 1275 BC, is a remarkable example of ancient artistry and religious symbolism. Crafted from glazed composition, it is shaped like a pylon, mimicking the monumental gateway entrances of Egyptian temples. The pectoral features sloping sides and a curved cavetto cornice, decorated with block patterns around its edges. Its vibrant color palette—yellow inlaid with blue, red, and green glazes—emulates precious materials like gold, lapis lazuli, cornelian, and turquoise. Central to the design is a dark blue heart scarab, representing lapis lazili and depicted within a solar barque, flanked by the goddesses Isis and Nephthys, whose hieroglyphic inscriptions label them as ""Lady of the West"" and ""Mistress of the Necropolis."" Additional protective symbols include a 'djed' pillar, the Girdle of Isis amulet, and two wedjat eyes, all intricately inlaid with polychrome glazes. On the pectoral's reverse, Chapter 30B from the 'Book of the Dead' is inscribed in turquoise green hieroglyphs, naming the deceased as Lady Ptahemheb. The underside also features a pattern of parallel dark blue lines forming a square frame around the scarab. Six holes are strategically placed for attachment to mummy wrappings, indicating its funerary use. Unearthed in historic Memphis, this pectoral highlights the convergence of artistry, religious devotion, and funerary practices in ancient Egypt.",-1275.0,-1275.0,False,success,Memphis,Egypt,success
6,3201,664 BC-510 BC (?); 589 BC - 570 BC (?),Excavated/Findspot: Naukratis,glazed composition,glazed; mould-made; pierced; stamped (possibly),Inscription type: inscription Inscription position: underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: wAH-ib-ra Inscription translation: Wahibre (Constant [is the] Heart [of] Re) Inscription note: Either prenomen of Psamtek I or nomen of Apries.,,Named in inscription: Psamtek I (?);  Named in inscription: Apries,26th Dynasty,Ancient Egyptian,Egypt,"This artifact is a mould-made scarab crafted from a glazed composition, dating from the 26th Dynasty of Egypt, approximately between 664 and 510 BC, plausibly during the reigns of Psamtek I or Apries. The scarab's back is simply modeled, featuring single lines delineating the prothorax and elytra, while the sides display highly simplified legs indicated by two horizontal grooves. Its underside is adorned with a hieroglyphic inscription, horizontally organized and deeply impressed, reading ""wAH-ib-ra,"" which translates to ""Wahibre (Constant [is the] Heart [of] Re)."" This inscription may reference the prenomen of Psamtek I or the nomen of Apries. Pierced longitudinally, the scarab exhibits a dirty brown glaze, possibly yellow originally, with a hard, pale yellow core underneath. This piece, excavated from Naukratis, reflects the intricate religious and cultural symbolism prevalent during the period, serving both as an amulet and a testament to the artistry of the era.",-664.0,-510.0,True,success,Naukratis,Egypt,success
7,3206,600 BC - 570 BC (mainly),Excavated/Findspot: Scarab Factory,glazed composition,mould-made; incised; pierced,"Inscription type: inscription Inscription position: underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription note: The cross-shaped symbol between two discs could be interpreted as a debased version of wah-ib-Ra, the Horus name of Psamtek I, or nomen of Apries (Gorton 1996, 93).",,Named in inscription: Psamtek I (?);  Named in inscription: Apries (?),26th Dynasty,Ancient Egyptian,Egypt,"This Ancient Egyptian scarab, dating from 600 to 570 BC, originates from the 26th Dynasty and is believed to have been crafted at the Scarab Factory. Made from a glazed composition using mold-made, incised, and pierced techniques, the scarab has endured significant erosion over the centuries. While the back is notably rubbed, the divisions for the head, prothorax, and elytra remain discernible. The scarab's underside, although badly worn, features an incised vertical line separating a possibly unidentified figure to the right and a partial cartouche to the left. This cartouche contains three debased hieroglyphic signs, potentially representing a cross-shaped symbol flanked by two discs. This symbol might be interpreted as a debased version of the Horus name of Psamtek I or the nomen of Apries, based on interpretations by Gorton. The scarab, with its light yellow paste and almost nonexistent glaze—whether due to erosion or absence—is longitudinally pierced, reflecting the intricate artistry and symbolic significance embedded in Egyptian craftsmanship and regal iconography.",-600.0,-570.0,True,success,Scarab Factory,Egypt,success
8,3211,600 BC-570 BC (mainly),Excavated/Findspot: Naukratis,glazed composition,mould-made (likely); glazed,Inscription type: inscription Inscription position: underside Inscription script: hieroglyphic Inscription note: Just magical value of the hieroglyphs or cryptographic reading of the divine name Amun?,bird,Named in inscription: Amun (?),26th Dynasty,Ancient Egyptian,Egypt,"This artifact is a mould-made scarab, dating from the 26th Dynasty of Ancient Egypt, between 600 and 570 BC. Crafted with a glazed composition and adorned in a yellow glaze, the scarab's underside is inscribed with three horizontally arranged hieroglyphic signs: a Maat feather pointing to the right, followed by an owl and an ankh sign. The hieroglyphs may possess either magical significance or a cryptographic rendition of the divine name Amun. Such scarabs were common amulets in ancient Egyptian culture, often symbolizing rebirth and protection. This particular piece was excavated at Naukratis, a significant ancient Greek trading post in Egypt, illustrating the cultural exchanges in the region during this era.",-600.0,-570.0,True,success,Naukratis,Egypt,success
9,3212,600 BC - 570 BC (mainly),Excavated/Findspot: Naukratis,egyptian blue,incised; mould-made; pierced,Inscription type: inscription Inscription position: underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: jmn (?) Inscription translation: Amun (?) Inscription note: Cryptographic reading of the divine name Amun?,bird,Associated with: Amun-Ra (?),26th Dynasty,Ancient Egyptian,Egypt,"This small mould-made scaraboid, dating from 600 to 570 BC during Egypt's 26th Dynasty, exemplifies ancient Egyptian craftsmanship in bright blue Egyptian paste. The back is simply modeled, with incised lines indicating the clypeus, prothorax, and elytra, and notches denoting humeral callosities. The legs are abstractly represented by broad incised lines forming a triangle. The underside bears three hieroglyphic inscriptions: the Maat feather, an owl, and a sun-disc, which cryptographically reference the divine name Amun. Noteworthy for its longitudinal piercing, this artifact bears cultural and religious significance potentially linked to Amun-Ra. Discovered in Naukratis, this scaraboid offers insight into the religious and artistic practices of the period.",-600.0,-570.0,True,success,Naukratis,Egypt,success
10,3215,600 BC-570 BC (mainly),Excavated/Findspot: Scarab Factory,glazed composition,mould-made; incised (?); stamped (?); pierced,"Inscription type: inscription Inscription position: Underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: jmn (?)
[j]mn-ra (?)
Hr mnx-[jb] (?) Inscription translation: Amun (?)
Amun-Ra (?)
The Horus Menekhib (?) Inscription note: Likely meant as a cryptic way to write Amun (or Amun-Ra), or Horus name of  Psamtek II (?).",bird,Named in inscription: Amun-Ra (?);  Named in inscription: Psamtek II (?);  Named in inscription: Amun (?),26th Dynasty,Ancient Egyptian,Egypt,"This artifact is a mould-made scarab from the 26th Dynasty of Ancient Egypt, dating between 600 and 570 BC. Crafted from a glazed composition, the scarab's back is severely damaged, lacking detailed modeling, and only limited incised grooves suggestive of legs remain visible on its sides. The underside bears a poorly preserved hieroglyphic inscription, arranged horizontally from right to left, featuring the falcon, men-draughtboard sign, and sun-disc. This inscription might have been stamped rather than incised. The scarab is longitudinally pierced, though much of its glaze is lost, revealing a yellowish off-white core, now heavily worn. The inscription is possibly a cryptic way to denote Amun or Amun-Ra, or the Horus name of Psamtek II. This scarab was excavated from the Scarab Factory in Egypt, a site associated with the manufacture of these amulets during the Late Period, offering a glimpse into the religious and cultural significance of such objects, particularly in relation to deities like Amun and influential figures like Psamtek II.",-600.0,-570.0,True,success,Scarab Factory,Egypt,success
