exhibit_number,id,Production date,Find spot,Materials,Technique,Inscription,Subjects,Assoc name,Culture,Section,Place,description,production_year_min,production_year_max,is_date_range,date_parse_status,find_spot_city,find_spot_country,location_parse_status
1,7621,1185-1333 (?),Found/Acquired: Seto-shi,stoneware,incised; glazed,Inscription type: owner's mark Inscription position: interior Inscription quoted: NEKKO HORA Inscription note: recutagular sticker with red frame,,,Kamakura Period,Japanese,Japan,"This fragmentary artifact is a sherd from the neck of a bottle, dating back to the Kamakura Period (1185-1333) in Japan. Fashioned from green-glazed stoneware, the piece exhibits incised detailing, a technique reflecting the sophisticated ceramic practices of its era. It carries an owner's mark inscribed on a rectangular sticker with a red frame, reading ""NEKKO HORA,"" positioned on the interior. This artifact was found in Seto-shi, a locality renowned for its historical significance in Japanese ceramic production. The sherd offers a glimpse into the artistry and material culture of the Kamakura Period, encapsulating the traditional craftsmanship of the time.",1185.0,1333.0,True,success,Seto-shi,Japan,success
2,7695,600 (ca.),Found/Acquired: Akasaka-cho (near),stoneware,ash-glazed; pierced; incised,Inscription type: inscription Inscription language: English Inscription quoted: Mino near Kiyomizu 3 ri from Akasaka,,,Late Kofun,Japanese,Japan,"This Late Kofun period pedestal long-necked jar, dating to around 600 CE, is a striking example of Japanese stoneware craftsmanship. Constructed from high-fired stoneware, it features a natural ash glaze that imparts a durable, aesthetically pleasing surface. The jar's globular body is designed with a flattened shoulder, resting on a pedestal which flares towards the foot, and it possesses a neck that also expands towards the mouth. Artistic embellishments include incised grooves that accentuate the pedestal, body, and neck, with the pedestal itself exhibiting three long vertical perforations, adding to its visual intrigue. An English inscription references ""Mino near Kiyomizu 3 ri from Akasaka."" This artifact was discovered near Akasaka-cho, situating it geographically within Japan and providing insight into the region's ceramic traditions during this era.",600.0,600.0,False,success,Akasaka-cho,Japan,success
3,7717,250-600 (?),Found/Acquired: Yamato (historic - kuni),stone,carved,,horse/ass,,Kofun Period,Japanese,Japan,"This carved stone equine figure, originating from Japan's Kofun Period, dates back to approximately 250-600 CE. The sculpture, representing a horse or ass, is intricately carved, reflecting the skill and artistry associated with this era in Japanese history. The Kofun Period is marked by its distinctive burial mounds and funerary art, of which this figure is a fine example. Discovered in the historic region of Yamato, this artifact highlights the cultural and symbolic significance of equines in Japanese society during this time, often associated with status and spiritual beliefs.",250.0,600.0,True,success,Yamato,Japan,success
4,7843,250-600,Found/Acquired: Shibayama dolmen,bronze; gold,gilded,,,,Kofun Period,Japanese,Japan,"This fragment of a harness pendant dates from the Kofun Period, specifically between 250-600 CE, and was discovered at the Shibayama dolmen in Japan. Crafted from gilt bronze, this pendant originally embodied an elegant design featuring oval and lozenge shapes, of which only a section of the oval remains today. The use of gilding indicates the luxurious craftsmanship typical of the era, reflecting the sophistication and artistry present in Japanese metalwork during this time. The pendant's origin from a dolmen—a megalithic tomb structure—suggests its role in burial practices, potentially symbolizing status or serving as a ceremonial object. This artifact offers insights into the material culture and mortuary customs of the ancient Kofun society.",250.0,600.0,True,success,Shibayama dolmen,Japan,success
5,7857,600-650,Found/Acquired: Kinshozan,stoneware,ash-glazed,Inscription type: inscription Inscription language: English Inscription quoted: near Akasaka (Mino)  Kinshozan. 3/10/86,,,Late Kofun,Japanese,Japan,"This vessel, crafted for serving rice wine, dates back to the Late Kofun period between 600-650 CE. Originating from Japan, the vessel is fashioned from high-fired stoneware, coated with a natural ash glaze that imparts a distinctive finish. Its design features a small, globular body with a round base and a pronounced shoulder, culminating in a long neck that flares into a wide mouth. Incised grooves accentuate both the neck and body, enhancing its aesthetic appeal. A small central hole adds to its unique form. An inscription in English notes ""near Akasaka (Mino) Kinshozan. 3/10/86,"" providing locational and potentially historical context. This artifact was found or acquired at Kinshozan, linking it to the rich cultural tapestry of the region.",600.0,650.0,True,success,Kinshozan,Japan,success
6,8458,480BC-460BC,Excavated/Findspot: Vulci,pottery,painted,,classical deity; classical mythology; mythical figure/creature,Representation of: Theseus;  Representation of: Aithra;  Representation of: Pittheus;  Representation of: Nike/Victoria/Victory;  Representation of: Aegeus,Attic,Greek,Greece,"This Attic red-figured amphora, dating from 480-460 BC, vividly depicts scenes from classical mythology, crafted with fine technique and traces of archaism. The obverse side illustrates ""The Recognition of Theseus,"" where the youthful hero, presented beardless and adorned with a short undertied chiton, is grasped by Aegeus, an elderly man with white hair and a beard, who extends a rolled band. Aithra stands between them, elegantly dressed and touching Theseus' chin, while behind him is Pittheus, holding a trident, his figure expertly rendered but partially obscured by the design's border. The reverse side showcases a face-off between a similarly attired youth and Nike, who offers a phiale with grace and precision. The amphora exhibits refined details such as purple fillets and brown hair delineations, with the design encased within panels featuring key, lotus, and net patterns, enriched by a band of black rays around its body. Discovered in Vulci, this pottery piece not only embodies the rich artistic traditions of ancient Greece but also resonates with the enduring narratives of figures like Theseus, Aithra, Pittheus, Nike, and Aegeus.",-480.0,-460.0,True,success,Vulci,Italy,success
7,8462,510BC-500BC (circa),Excavated/Findspot: Vulci (said to be from),pottery,painted; incised,"Inscription type: merchant's mark Inscription position: under foot Inscription script: Greek Inscription note: lambda-eta ligature, twice, deltoid mark and 'tick'",classical deity; classical mythology,Representation of: Herakles/Hercules;  Representation of: Antaios;  Representation of: Athena/Minerva;  Representation of: Hermes/Mercury,Attic; Archaic Greek,Greek,Greece,"This Attic black-figured amphora, dating from circa 510-500 BCE, exemplifies the artistry of Archaic Greek pottery. The amphora, crafted from pottery and skillfully painted and incised, vividly portrays a mythological narrative. Side (a) depicts Heracles wrestling Antaios, a dynamic scene where Heracles, nude and bearded, grapples with Antaios, who is also nude and bearded, his hand touching the earth. Above Heracles, a lion's skin, bow, quiver, and sword are suspended, signifying his legendary strength. Athena, adorned in a long embroidered chiton and aegis, stands to the left holding a spear and helmet, symbolizing divine intervention. Hermes appears on the right, bearded and dressed in a chiton and chlamys, pointing with his caduceus. An imitation inscription is inscribed above this scene. Side (b) illustrates the departure of a warrior in a quadriga, front-facing with a charioteer, a warrior, and accompanying animal motifs—a dog leaping and a bird descending. A merchant's mark under the foot features a lambda-eta ligature and deltoid mark, indicating its commercial use. Excavated from Vulci, this artifact encapsulates the intersection of myth and daily life in Greek culture, depicting figures such as Heracles, Antaios, Athena, and Hermes in classical mythology.",-510.0,-500.0,True,success,Vulci,Italy,success
8,8491,470BC-400BC,Excavated/Findspot: Marion-Arsinoe (historic),pottery,painted; wheel-made; incised,,satyr; mammal,,Attic,Greek,Greece,"This Attic red-figure askos, dating from 470-400 BCE, exemplifies the intricate pottery techniques of ancient Greece. Wheel-made from fine buff clay, the askos features a flat body with splaying sides and a convex top, a prominent spout with an everted rim, and a basket handle. The surface, adorned in the red-figure technique on the shoulder, bears a patina of historical wear with certain portions of the black gloss now worn. On one side, a charming depiction of a beardless satyr on all fours with a bald crown is crafted facing the spout, while the opposite side showcases a bull with schematic detail and pronounced hooves, both figures directed toward the spout. Notably, the underside is marked with a single incised Cypriot syllabic character, offering a glimpse into cross-cultural influences. The artifact was unearthed at Marion-Arsinoe, underscoring its historical provenance within the realm of Greek antiquity.",-470.0,-400.0,True,success,Marion-Arsinoe,Cyprus,success
9,6036,6000BC-5000BC,Excavated/Findspot: Arpachiyah,steatite,pierced,,cross,,Halaf,Mesopotamian,iraq,"This Halaf cultural artifact, dating from 6000 to 5000 BC, is a black steatite amulet intricately shaped like a Maltese cross. Designed for suspension, it features a pierced section likely intended for stringing or attachment, reflecting the utilitarian and symbolic functions of such objects in ancient Mesopotamian societies. The artifact's cross shape could suggest spiritual or protective significance within the Halaf culture. Discovered during excavations at Arpachiyah in present-day Iraq, this amulet offers a glimpse into the artistry and beliefs of early Neolithic communities in the region.",-6000.0,-5000.0,True,success,Arpachiyah,Iraq,success
10,6101,2100BC-2000BC,Excavated/Findspot: Ur (historic - city),chlorite,perforated,,mammal,,Third Dynasty of Ur,Mesopotamian,iraq,"This artifact is a green chlorite cylinder seal originating from the Third Dynasty of Ur, dated between 2100-2000 BC. It features a vivid contest scene, depicting two crossed lions engaged in combat with naked heroes. The design is executed in a simple and linear style, with the treatment of the figures' heads echoing the artistic conventions of Early Dynastic III seals. The seal is perforated with a small, straight hole, indicating its use as a means of personal identification or decoration. Despite the passage of time, the upper part of the lion and much of the scene remain visible, though a large chip and signs of erasure are present on one side. This seal was excavated from the historic city of Ur, modern-day Iraq, providing a tangible connection to the legendary cultural and historical landscapes of Mesopotamia.",-2100.0,-2000.0,True,success,Ur,Iraq,success
